epoch,train_loss,val_loss,val_log_mse_total,lr,train_Read Latency (ns),val_Read Latency (ns),val_log_mse_Read Latency (ns),train_Write Energy (nJ),val_Write Energy (nJ),val_log_mse_Write Energy (nJ),train_Area (mm^2),val_Area (mm^2),val_log_mse_Area (mm^2),train_Leakage (mW),val_Leakage (mW),val_log_mse_Leakage (mW)
1,0.1250994487452502,0.041152324390240844,0.1274673193693161,0.000980363462641032,0.03168131,0.012125063,0.024789933,0.07606465,0.02814212,0.05845801,0.035982553,0.014651789,0.029391268,0.046606578,0.0074133994,0.0148281045
2,0.0417774949662634,0.02555107764450281,0.0793636366724968,0.001960726925282064,0.01254915,0.008561197,0.017350482,0.030381028,0.018070653,0.037228037,0.014630616,0.009334426,0.018692043,0.0068068653,0.003046539,0.006093078
3,0.029781908033105826,0.02052831721784644,0.06328313797712326,0.002941090387923096,0.0094350735,0.0069852243,0.014137564,0.021461612,0.014254534,0.029858558,0.01078871,0.007994985,0.016010577,0.0039367927,0.0016359503,0.0032764382
4,0.023198958815355025,0.01782103750796672,0.05334950610995293,0.003921453850564128,0.007883775,0.0067677516,0.013647564,0.016550336,0.011077781,0.022683647,0.008681437,0.0069136526,0.013849105,0.0022420867,0.0015845672,0.0031691901
5,0.019927158580049727,0.01570400206342246,0.04676089435815811,0.00490181731320516,0.006946508,0.0060991286,0.012284105,0.013463791,0.009595411,0.01957576,0.007637507,0.0061234226,0.012257537,0.0018665107,0.0013210378,0.0026434942
6,0.01753039550451844,0.018875326069860882,0.052332423627376556,0.00490181731320516,0.006352541,0.006310102,0.012701577,0.011877101,0.009812618,0.020049058,0.006776605,0.0085630035,0.017158672,0.0013304474,0.0012115489,0.0024231134
7,0.01631753114419917,0.013657175276173985,0.04043760150671005,0.004901678334347064,0.0059050745,0.0053355843,0.010750739,0.010909499,0.008407,0.017108968,0.006353936,0.005506275,0.011027527,0.0012408727,0.0007751843,0.0015503686
8,0.015410269853711241,0.013656070407642046,0.04101349040865898,0.004901261413534379,0.0056443308,0.0051415153,0.01038088,0.010245889,0.008527578,0.017368296,0.0060305423,0.005164859,0.01033956,0.001095517,0.0014616417,0.0029247527
9,0.014896169129726123,0.013800785400743466,0.04114765301346779,0.004900566598050123,0.0055242903,0.0051374403,0.010356149,0.009906832,0.008849577,0.018068725,0.005832858,0.0056544645,0.011369164,0.0009966722,0.0006435016,0.0013536144
10,0.01446369482219581,0.01423434822669131,0.041200533509254456,0.004899593966693366,0.0053480426,0.0047255894,0.00952949,0.009552802,0.008355831,0.017109055,0.005691734,0.0059467964,0.011903949,0.00096612,0.0013289597,0.002658041
11,0.014031208234774065,0.012274601628933547,0.03690711408853531,0.004898343629770295,0.0052552274,0.004663323,0.009411559,0.009310944,0.007984123,0.01642324,0.0055181473,0.004944142,0.009899796,0.0008663404,0.0005857942,0.0011725217
12,0.013720799909094502,0.013640546703457976,0.03909333050251007,0.004896815729081707,0.005160801,0.0051662573,0.010410413,0.008982787,0.007523942,0.015357031,0.0054130126,0.005795245,0.011630552,0.00086432026,0.0008476678,0.0016953356
13,0.013364036063827214,0.012678358131540005,0.038135118782520294,0.004895010437906921,0.005028447,0.0047147847,0.00951459,0.008849855,0.008067999,0.016419934,0.0052783387,0.0048266593,0.009661494,0.0007768831,0.0012695489,0.0025390978
14,0.013173660813424156,0.0125220354849361,0.03723689913749695,0.004892927960984131,0.0049844645,0.004725624,0.009548367,0.008674441,0.008006915,0.016332168,0.0051992023,0.005133918,0.010279555,0.0007764637,0.0005384046,0.0010768092
15,0.012929782772282867,0.01142122829960473,0.034445688128471375,0.004890568534487185,0.004883657,0.004492604,0.009072145,0.008498778,0.0075460062,0.015342597,0.0051276525,0.004532987,0.009074664,0.0007337516,0.00047814174,0.0009562835
16,0.012819444627856695,0.011962387721887081,0.03565945103764534,0.0048879324259988016,0.0048673614,0.0044151573,0.008901489,0.008408153,0.0076722726,0.01569401,0.0050711012,0.004861266,0.009749693,0.00073897536,0.0006571299,0.0013142598
17,0.01267695656917306,0.011348543322942715,0.03409614786505699,0.004885019934480223,0.004839589,0.0044373027,0.008949754,0.008302072,0.007366916,0.014953027,0.0050102295,0.004477655,0.00897011,0.00072414643,0.0006116276,0.0012232552
18,0.012482374259993705,0.011512769828357349,0.03479617461562157,0.004881831390237309,0.004770339,0.0044052373,0.00888095,0.008110648,0.007506635,0.015240921,0.0049539013,0.004397069,0.008806078,0.0007067336,0.00093396666,0.0018682303
19,0.012363539640186024,0.011350249713943168,0.033598024398088455,0.004878367154883077,0.004729113,0.0044025006,0.008883585,0.0080499435,0.0070207375,0.014284599,0.0048893685,0.0046055336,0.009228354,0.0007182763,0.0006007415,0.001201483
20,0.012195135824167525,0.011055517786384585,0.03315015509724617,0.0048746276212966915,0.0047141016,0.0045529595,0.009169712,0.007922964,0.0070273126,0.014288423,0.0048290193,0.0043734307,0.00875232,0.00066708145,0.0004698512,0.0009397024
21,0.012100402689200814,0.011664772613310991,0.03463098034262657,0.00487061321357891,0.0046875575,0.0045239506,0.009118344,0.007894732,0.0073264996,0.01488756,0.0047969297,0.004722506,0.009467486,0.0006268458,0.0005779522,0.0011575883
22,0.011944873418200155,0.01122917502850174,0.03408375382423401,0.004866324387003983,0.004608607,0.004426939,0.00892911,0.007772332,0.0074422075,0.01516223,0.0047443258,0.0043397304,0.008683902,0.0006289885,0.00065425516,0.0013085103
23,0.011926688835507135,0.010777699392448657,0.032490674406290054,0.004861761627968021,0.0046184184,0.004253487,0.008587726,0.0077593895,0.0070985802,0.014454939,0.0047294484,0.004291372,0.008592854,0.0006284711,0.00042757817,0.00085515634
24,0.011766388064034329,0.011069308373867088,0.034083157777786255,0.004856925453933835,0.004576757,0.004422806,0.008928585,0.0076302076,0.007679953,0.015767142,0.004674249,0.004283736,0.008573524,0.00060214545,0.0004069531,0.0008139062
25,0.011798782328254712,0.011086153623932431,0.03352019935846329,0.004851816413372248,0.004573599,0.004649699,0.009373285,0.0076825786,0.007073169,0.014418582,0.0046749627,0.0042712404,0.008549723,0.00062116364,0.00058928976,0.0011786071
26,0.011648465485998898,0.010665127872912919,0.03186151385307312,0.004846435085699896,0.0045520654,0.0042738467,0.008619224,0.007540517,0.0067660687,0.013753192,0.0046268282,0.0042618625,0.008528608,0.0005870777,0.0004802457,0.0009604914
27,0.011494999501901443,0.010829353119868627,0.032591354101896286,0.004840782081213512,0.004497959,0.0043707197,0.008823429,0.0074726203,0.007029662,0.014318444,0.004572806,0.0043074894,0.0086218035,0.00054600975,0.00041383848,0.00082767697
28,0.011540247414166524,0.010775191593108469,0.031969793140888214,0.004834858041020717,0.00448963,0.0042102975,0.008487785,0.00743198,0.0067835734,0.013780392,0.00459279,0.0043878434,0.008789709,0.0006023947,0.00045595437,0.00091190875
29,0.011432279116320205,0.010549769294366958,0.03184308111667633,0.004828663636967311,0.004450262,0.0041958024,0.008462188,0.0074407184,0.006954259,0.014137511,0.004542657,0.0041660233,0.008343434,0.0005660088,0.00044997485,0.0008999497
30,0.011416749064529188,0.01064390639583933,0.031536586582660675,0.004822199571561073,0.0044514076,0.00412001,0.00830275,0.0074248277,0.0067826277,0.013760824,0.004538183,0.004388288,0.008783709,0.000559556,0.0003446509,0.0006893018
31,0.011308267500078358,0.010811726125274215,0.03181605786085129,0.0048154665778921,0.0044388017,0.004204851,0.0084788725,0.007323159,0.0065758526,0.013406449,0.0044977777,0.004457304,0.008932045,0.0005420418,0.0004993469,0.0009986938
32,0.011329301604578543,0.011136896047151056,0.0329916775226593,0.004808465419549655,0.0044196458,0.0043693725,0.008800479,0.0073222313,0.0068482193,0.013883937,0.0045064543,0.00445284,0.008911211,0.00057214126,0.0006863476,0.0013960515
33,0.011204494693750277,0.010218391694042437,0.030856197699904442,0.004801196890535581,0.0043855784,0.0040787966,0.008214137,0.0072717373,0.006753596,0.0137770055,0.0044559264,0.0040630074,0.008132952,0.00053978804,0.00036605136,0.0007321027
34,0.011128867648427439,0.010911039506726679,0.032511450350284576,0.0047936618151742435,0.0043664626,0.004340661,0.008749142,0.007204296,0.0069357883,0.014116101,0.004433638,0.0044265063,0.008858738,0.00052380044,0.00039373522,0.00078747043
35,0.011085771033820671,0.010788027096891844,0.03249571844935417,0.004785861048019047,0.0043587927,0.0043750782,0.008833731,0.007205726,0.0066073346,0.013408534,0.0044066627,0.004191851,0.008441986,0.0005160565,0.00077637885,0.0018114664
36,0.01106028505191208,0.010008563848039486,0.029991813004016876,0.004777795473755522,0.0043298537,0.004081469,0.008241097,0.007170875,0.006350076,0.012895576,0.0043959403,0.0039581787,0.007923589,0.0005406918,0.0004657753,0.0009315506
37,0.011012488459873628,0.010166332124493917,0.030528105795383453,0.004769466007100991,0.004344781,0.0041147927,0.008297123,0.007130768,0.0065368647,0.013358196,0.004372974,0.0040735397,0.008152795,0.00052309217,0.00035999485,0.0007199897
38,0.011021308069594116,0.010560498700456314,0.03127201274037361,0.004760873592700827,0.004350686,0.004027466,0.0081245825,0.007147969,0.0066022123,0.013459144,0.004377033,0.004317837,0.008647709,0.00051456003,0.0005200986,0.0010405796
39,0.010915030172049376,0.010318075717298515,0.03066571243107319,0.0047520192050213295,0.0043062293,0.004026892,0.008125054,0.007080324,0.006504433,0.013176414,0.0043406263,0.0041473466,0.008302745,0.0005008074,0.0005307507,0.0010615014
40,0.010875804058598415,0.010166432169220046,0.030701056122779846,0.004742903848239202,0.004299468,0.00408305,0.00823403,0.007039886,0.0067127035,0.013603397,0.004328778,0.003990597,0.007987844,0.0004933541,0.00043789324,0.00087578647
41,0.01087555664776567,0.010044554386594396,0.03000071458518505,0.004733528556127673,0.0042935763,0.004074188,0.00821809,0.0070559783,0.0063108485,0.012818619,0.004329498,0.003988801,0.007984508,0.00048801812,0.00048908405,0.0009794981
42,0.010818823571335148,0.010601102355935504,0.03179161250591278,0.004723894391939253,0.0042831083,0.0041778893,0.008425226,0.007002123,0.0066082175,0.013467018,0.004296839,0.00408896,0.008194519,0.0005024472,0.0008524241,0.0017048483
43,0.010775540812731275,0.010206588529913432,0.030637826770544052,0.004714002448285153,0.004254613,0.004171972,0.008411343,0.0070236605,0.006547565,0.01331488,0.0042775474,0.004058916,0.008130557,0.00048716486,0.00039027823,0.00078104495
44,0.010768533250382791,0.011115362275514,0.03343360871076584,0.004703853847011371,0.004271737,0.004780482,0.009645797,0.0069944677,0.006858641,0.014041995,0.004267947,0.0043247403,0.008656557,0.00049574,0.00054463075,0.0010892615
45,0.010746925825699393,0.010121202052423494,0.030180808156728745,0.004693449739071463,0.0042642727,0.004074378,0.00820677,0.0069612847,0.006398079,0.01300555,0.004270339,0.004066527,0.008139269,0.00048480724,0.0004145391,0.000829217
46,0.010653202803035536,0.01018170202713475,0.03049064800143242,0.004682791304396011,0.0042344057,0.004068814,0.00820765,0.006905284,0.006562824,0.013348834,0.004235548,0.0040926887,0.0081916,0.0004679536,0.00037128184,0.0007425637
47,0.01067812844373937,0.010064272104571927,0.03027970902621746,0.004671879751758813,0.0042208806,0.004057109,0.00817072,0.006969149,0.0064895335,0.013223489,0.0042405636,0.003970802,0.0079498775,0.00047129797,0.00046781215,0.0009356243
48,0.010610012056655325,0.009770943368825884,0.02942533977329731,0.004660716318639789,0.004215132,0.0039057063,0.007880004,0.0069084656,0.0064430167,0.013094922,0.004208889,0.0039067916,0.007819322,0.0004679143,0.00031554597,0.00063109194
49,0.010585223145017543,0.01016012363484167,0.030416235327720642,0.004649302271084643,0.004199407,0.0039995234,0.008065971,0.006874365,0.006455635,0.013189213,0.004205944,0.004051387,0.008110829,0.0004689552,0.00052511157,0.0010502231
50,0.010542734460991608,0.010169239261392625,0.03009827807545662,0.004637638903561278,0.004211262,0.0040685497,0.008196548,0.0068480945,0.006256847,0.012709139,0.004173609,0.0041168374,0.008247038,0.00047031546,0.0004727765,0.000945553
51,0.010595619445756835,0.009744016022963807,0.029330387711524963,0.004625727538812993,0.0041999263,0.0040478916,0.008167259,0.006841602,0.006235486,0.012679782,0.004205831,0.0038276813,0.0076612793,0.0005004782,0.0004110335,0.000822067
52,0.010449181113494311,0.009900369797188769,0.03016584739089012,0.004613569527708469,0.004153003,0.004045621,0.008171776,0.0068108267,0.006579128,0.013414514,0.004150813,0.0038158367,0.0076368726,0.000445693,0.00047134157,0.00094268314
53,0.010468707333532414,0.009765165564138695,0.02912672981619835,0.004601166249088564,0.0041699065,0.004002993,0.008068805,0.006842273,0.006125276,0.012447991,0.0041501354,0.0039116275,0.007833858,0.0004440758,0.0003880376,0.0007760752
54,0.010437316873183698,0.010055079624375128,0.030681150034070015,0.004588519109609945,0.0041484097,0.0040869447,0.008245277,0.006797425,0.0068167998,0.013836829,0.004136849,0.003880398,0.00776551,0.000464217,0.0004167677,0.0008335354
55,0.010388317887178934,0.009643560414126472,0.02886379510164261,0.004575629543585554,0.0041253995,0.00383382,0.007738259,0.0067437952,0.006233152,0.01266729,0.004123068,0.0038899712,0.007788478,0.0004664447,0.00033488413,0.00066976825
56,0.010345624442182523,0.00993859385067089,0.029622111469507217,0.004562499012821943,0.0041303765,0.003992696,0.00804876,0.00672229,0.0062735877,0.012727505,0.0041053533,0.003984879,0.007980205,0.00044501788,0.00043282073,0.00086564146
57,0.010382433287744654,0.009774110912225261,0.029427725821733475,0.004549129006453493,0.0041282396,0.0039340206,0.007927869,0.00674803,0.0063522346,0.012958411,0.00411293,0.0038862042,0.0077796327,0.0004714106,0.00038090762,0.00076181523
58,0.010358108089950881,0.010102155646777914,0.03029848448932171,0.0045355210407735285,0.00412594,0.0040627453,0.008193239,0.006735768,0.0065202927,0.013238475,0.0041020857,0.0040294738,0.0080714235,0.00046463468,0.0003976736,0.0007953472
59,0.010328843435534701,0.009639618519499795,0.02915138378739357,0.004521676659062356,0.0041135396,0.0040023713,0.00808426,0.0067477995,0.0062247813,0.012747309,0.0040873727,0.0038009759,0.007612007,0.00045303922,0.00035390357,0.00070780714
60,0.010300904626950701,0.009606636034562632,0.02890741638839245,0.00450759743141224,0.004123012,0.0038898315,0.00785266,0.0067171594,0.0062495936,0.012709231,0.004072835,0.003822901,0.0076519866,0.00044788342,0.00034676923,0.00069353846
61,0.01028876607895402,0.010130400157441804,0.03078945353627205,0.004493284954549337,0.0041263322,0.004230282,0.008525151,0.00669722,0.0066718487,0.013577046,0.0040673115,0.0039155744,0.007843524,0.00044838205,0.00042186715,0.0008437343
62,0.010305713326948298,0.00955716095283608,0.02886759489774704,0.0044787408516526175,0.004103376,0.003973248,0.008005448,0.0067203306,0.0061792163,0.012550765,0.0040764175,0.0037120837,0.00742915,0.0004624272,0.0004411168,0.0008822336
63,0.01021575576025469,0.009728016388319698,0.029217839241027832,0.004463966772169771,0.0040730634,0.004026239,0.008115566,0.006618717,0.0062342337,0.012675285,0.004048674,0.0038591404,0.0077233724,0.00046287803,0.0003518069,0.0007036138
64,0.01020315354642493,0.009560574372226443,0.028832487761974335,0.004448964391630147,0.004089351,0.0039351657,0.007952275,0.0066273334,0.006185629,0.0125784995,0.0040310654,0.0037615905,0.0075283754,0.00045840652,0.00038666834,0.0007733367
65,0.010189898961941677,0.009744335638140096,0.029269687831401825,0.0044337354114547395,0.00406276,0.003821822,0.0077135996,0.006640528,0.006278111,0.012826357,0.0040416527,0.003903382,0.007815125,0.00043579622,0.00043827022,0.0009146074
66,0.01017366837824572,0.009692732161093662,0.028973722830414772,0.004418281558763214,0.0040572765,0.003922987,0.007917967,0.0066357586,0.0060890657,0.012403965,0.0040259734,0.0038569968,0.007721076,0.00044739118,0.00046535747,0.00093071494
