epoch,train_loss,val_loss,val_log_mse_total,lr,train_Area (mm^2),val_Area (mm^2),val_log_mse_Area (mm^2),train_Read Latency (ns),val_Read Latency (ns),val_log_mse_Read Latency (ns),train_Write Latency (ns),val_Write Latency (ns),val_log_mse_Write Latency (ns),train_Read Energy (nJ),val_Read Energy (nJ),val_log_mse_Read Energy (nJ),train_Write Energy (nJ),val_Write Energy (nJ),val_log_mse_Write Energy (nJ),train_Leakage (mW),val_Leakage (mW),val_log_mse_Leakage (mW)
1,0.12481984335006979,0.005830424173078769,0.02055792696774006,0.00021081743653050887,0.024886832,0.000891869,0.0017843065,0.03912806,0.0010637223,0.0021274446,0.027541667,0.00492929,0.009859528,0.02267827,0.00074385916,0.0014877183,0.017727507,0.0012044573,0.0024089145,0.033772312,0.0014449491,0.0028900146
2,0.014984652176077574,0.005294502822450554,0.021222226321697235,0.00042163487306101774,0.004799811,0.0014839851,0.0029679867,0.006449034,0.0008868717,0.001773749,0.0054802955,0.0014735771,0.0029472564,0.0047452813,0.0009574007,0.0019148014,0.005376832,0.0034307183,0.0068614366,0.005709003,0.0023784984,0.004756997
3,0.006833582537587968,0.0011019288615526036,0.004430761560797691,0.0006324523095915266,0.0026186921,0.00029408772,0.00058817543,0.0024814038,0.0003073005,0.0006150116,0.0024150012,0.00033916166,0.00067864056,0.0021777747,0.00023452756,0.0004690551,0.002493523,0.00063687225,0.0012737445,0.003003134,0.00040306713,0.00080613425
4,0.003324590952631026,0.002653273111799057,0.012032553553581238,0.0008432697461220355,0.0012981623,0.0010780338,0.0021560676,0.0012378913,0.00052061887,0.0010412424,0.0010230117,0.0009855792,0.0019711584,0.00095472357,0.0009227284,0.0018454568,0.0009986721,0.0010652649,0.0021305298,0.0017797227,0.0014440493,0.0028880986
5,0.0027296887521838483,0.00036403591780906087,0.001552427071146667,0.0010540871826525443,0.000894024,0.000103919934,0.00020783987,0.0010669248,0.00015202319,0.00030404638,0.00083024293,0.00014033385,0.0002806677,0.00080549094,9.2544935e-05,0.00018508987,0.0011643985,0.0001309996,0.0002619992,0.00119779,0.000156392,0.000312784
6,0.0009576727896978901,0.00041851908646548067,0.0017454462358728051,0.0010540871826525443,0.00027840157,8.664692e-05,0.00017329384,0.0003617321,0.00019358599,0.00038717198,0.00039404642,0.00019581652,0.00039163305,0.00024122799,7.712121e-05,0.00015424241,0.00032604474,0.00010880534,0.00021761068,0.0004453415,0.0002107472,0.0004214944
7,0.0007997531192024656,0.0010896868425672027,0.005262395367026329,0.0010540572966279095,0.00023845528,0.00046850223,0.00093700446,0.00029723597,0.00031336196,0.0006267239,0.0003131109,0.00047758082,0.00095516164,0.00020339519,0.000320334,0.000640668,0.00028773447,0.00017321552,0.00034643104,0.0003745255,0.0008782032,0.0017564064
8,0.0007378332827931107,0.0003540108168402087,0.0014750540722161531,0.0010539676419433809,0.0002199974,0.00011836603,0.00023673208,0.00027196965,0.00020316096,0.00040632192,0.0002836787,0.00016508241,0.00033016482,0.00018630581,5.323821e-05,0.00010647642,0.00026182152,7.604528e-05,0.00015209056,0.00036989196,0.0001216341,0.0002432682
9,0.0006598972899229883,0.00021265347704253908,0.0009638151386752725,0.0010538182287667024,0.00019606846,6.514651e-05,0.00013029302,0.00025491396,8.816159e-05,0.00017632318,0.00026097713,7.5952856e-05,0.00015190571,0.00016488266,6.983888e-05,0.00013967777,0.00022994647,6.6792694e-05,0.00013358539,0.00030748628,0.00011601501,0.00023203003
10,0.000539474792457274,0.00021349949050247717,0.0009073354885913432,0.0010536090740428327,0.00016169161,4.9606966e-05,9.921393e-05,0.00020955538,8.2029386e-05,0.00016405877,0.00021067631,8.196725e-05,0.0001639345,0.0001321126,6.0098035e-05,0.00012019607,0.0001835382,8.264652e-05,0.00016529304,0.00026631425,9.731958e-05,0.00019463916
