epoch,train_loss,val_loss,val_log_mse_total,lr,train_Read Latency (ns),val_Read Latency (ns),val_log_mse_Read Latency (ns),train_Write Energy (nJ),val_Write Energy (nJ),val_log_mse_Write Energy (nJ),train_Area (mm^2),val_Area (mm^2),val_log_mse_Area (mm^2),train_Leakage (mW),val_Leakage (mW),val_log_mse_Leakage (mW)
1,0.08224336944220038,0.07313761029588581,0.6557713747024536,0.0002,0.16446604,0.1616532,0.3684041,0.09852562,0.08908981,0.20357738,0.031184541,0.021063216,0.042217962,0.034797344,0.020744206,0.04157189
2,0.07150209646825509,0.07045015326042621,0.6331101655960083,0.0004,0.15968199,0.15855652,0.35962528,0.08958933,0.08826865,0.20346487,0.020108674,0.019170295,0.038397927,0.016628385,0.01580511,0.031622093
3,0.07057311027621245,0.07032499997346696,0.6315804719924927,0.0006,0.15911722,0.1599087,0.36467752,0.08868412,0.088018924,0.20010123,0.019200942,0.018774373,0.037604757,0.015290202,0.014598005,0.029196994
4,0.0701753441361461,0.07077446991035713,0.6323458552360535,0.0008,0.158777,0.15914898,0.35992777,0.08829161,0.08815151,0.20082071,0.018847564,0.020229697,0.04046207,0.014785363,0.015567668,0.031135336
5,0.0699596307100966,0.07040774238599225,0.6355721354484558,0.001,0.15852936,0.15864308,0.35913396,0.08805943,0.0883264,0.20700656,0.018712891,0.019225122,0.03855667,0.014536767,0.015436348,0.030874912
6,0.06972820165305478,0.06975885240810946,0.6321204304695129,0.001,0.15831566,0.15852994,0.36097947,0.08781103,0.0883777,0.20686361,0.018539857,0.018308343,0.03663847,0.014246096,0.013819388,0.027638864
7,0.06962887417730841,0.06967009668088799,0.6270157098770142,0.000999971647483124,0.15818448,0.15836836,0.3599576,0.087686025,0.087595224,0.20159902,0.01848466,0.018593693,0.037212726,0.014160322,0.0141231045,0.028246343
8,0.06956962863067136,0.06966240293557098,0.6229714155197144,0.0009998865931479571,0.15815938,0.15866926,0.3584169,0.087639295,0.08764449,0.19984132,0.01844549,0.018630816,0.037303135,0.014034367,0.013705036,0.027410073
9,0.06950977988596853,0.06942341117314577,0.6287060976028442,0.000999744846640517,0.1581132,0.15821026,0.36282232,0.087531134,0.08755969,0.20201905,0.018405154,0.018263025,0.036543183,0.013989755,0.013660717,0.027321538
10,0.06942058075249426,0.06955825969712777,0.6262240409851074,0.0009995464240362846,0.15796389,0.1584176,0.3587841,0.08745774,0.08764184,0.20307267,0.018364279,0.018343782,0.03670742,0.013896316,0.013829799,0.027659897
11,0.06940552454347061,0.07007902102765239,0.6298837065696716,0.000999291347838381,0.15795368,0.15967743,0.3664092,0.087441616,0.08779302,0.19776845,0.018353507,0.0182576,0.03653007,0.013873412,0.014587986,0.029175973
12,0.06935359652515537,0.06985118823133174,0.6316003799438477,0.000998979646975015,0.15789506,0.1581922,0.3594196,0.087375075,0.08821704,0.20616864,0.018315224,0.018626923,0.037274763,0.013829069,0.01436859,0.028737355
13,0.06931402179787703,0.06959233103366791,0.6214786171913147,0.0009986113567962026,0.15780617,0.15810002,0.35721585,0.087321185,0.08745872,0.19863491,0.018321576,0.018507656,0.037022073,0.013807133,0.014302914,0.028605828
14,0.06927936050465504,0.06939138809636007,0.6256017684936523,0.0009981865190697577,0.15775496,0.15811981,0.36239398,0.08730223,0.08744595,0.1991914,0.018285336,0.018330116,0.03667708,0.013775057,0.013669642,0.02733931
15,0.06924572190546799,0.06942543071148465,0.6225599646568298,0.0009977051819765558,0.15770386,0.15799674,0.3585874,0.08727242,0.08732433,0.19915238,0.018269313,0.018542845,0.03714419,0.013737466,0.013837838,0.027676005
16,0.06923021991452838,0.06941967446442415,0.6263205409049988,0.0009971674001050686,0.15766573,0.15796816,0.36050066,0.08725646,0.08751482,0.20138896,0.018277189,0.01843188,0.03690322,0.01372141,0.013763804,0.027527662
17,0.06921162170869655,0.06956941479781108,0.6287301778793335,0.000996573234445175,0.15765281,0.15835953,0.3617917,0.08721102,0.08763625,0.20234253,0.018252382,0.018597886,0.037227787,0.013730194,0.013684048,0.027368104
18,0.06919432849893371,0.06933907551463152,0.6220861673355103,0.0009959227523812424,0.15763028,0.15791012,0.357325,0.08718529,0.0872811,0.20041454,0.0182501,0.018435162,0.03688682,0.013711616,0.013729921,0.027459847
19,0.06918606369430663,0.06936338175837342,0.6267698407173157,0.0009952160276844855,0.15763119,0.15804575,0.36028442,0.08719189,0.087438546,0.20253174,0.01823073,0.018311651,0.036638524,0.013690402,0.013657573,0.027315188
20,0.06916429623401604,0.06939967729739188,0.6225218176841736,0.0009944531405046,0.15757923,0.15802224,0.35750243,0.08715648,0.0874419,0.2007332,0.01822798,0.01829361,0.036604222,0.013693508,0.013840932,0.027681943
21,0.06913880934034997,0.06933229115966084,0.6237397789955139,0.0009936341773606723,0.15754715,0.15806043,0.36012468,0.08713671,0.08733818,0.19973505,0.018204529,0.018284092,0.036587026,0.01366677,0.013646506,0.027293032
22,0.06913937948005701,0.06941493698869293,0.6254225373268127,0.000992759231131368,0.15753047,0.15836902,0.3615558,0.087145716,0.08735749,0.19997744,0.018215436,0.018279845,0.03658259,0.013665916,0.013653327,0.027306654
23,0.06912034379911328,0.0693788685042482,0.6240885257720947,0.0009918284010443981,0.1575181,0.1581224,0.36125416,0.087111466,0.08731137,0.19864005,0.018197443,0.018347675,0.03672628,0.013654368,0.01373401,0.027468033
24,0.0691262199413644,0.06943777178347682,0.6250543594360352,0.0009908417926652654,0.15753216,0.15794145,0.35998347,0.0871225,0.087588325,0.20060419,0.018196672,0.018363714,0.036751255,0.013653551,0.013857594,0.02771546
25,0.06913097754057944,0.06934702345606342,0.6243794560432434,0.0009897995178852926,0.15754153,0.15794688,0.3588957,0.08711519,0.087482095,0.2015468,0.018206943,0.018266983,0.036552683,0.013660381,0.013692137,0.027384274
26,0.0690947046269224,0.06929098956377638,0.6240099668502808,0.0009887016949089334,0.1574903,0.15794565,0.35869935,0.08706068,0.0873597,0.20157954,0.01818328,0.018227633,0.036469117,0.013644598,0.013630979,0.027261974
27,0.06909972182259357,0.06930483938832294,0.6226077079772949,0.0009875484482403652,0.15749368,0.15785679,0.35753456,0.08706336,0.087424,0.20117532,0.01819132,0.018221263,0.03646317,0.013650411,0.013717318,0.02743471
28,0.06909129461517143,0.06932145547097607,0.6273077130317688,0.0009863399086693708,0.15747039,0.15784523,0.36135146,0.08706925,0.08727687,0.20161729,0.018180136,0.01839824,0.036807906,0.013645466,0.013765534,0.027531097
29,0.06908333378328384,0.06931966989464826,0.6255572438240051,0.0009850762132565043,0.15745868,0.15785556,0.3602649,0.08705248,0.087409884,0.20124519,0.018185189,0.018280268,0.036581237,0.01363683,0.013732972,0.027465964
30,0.06908160172861869,0.06934362059608817,0.6233857870101929,0.0009837575053175478,0.15747292,0.15786055,0.35944036,0.08704436,0.08737633,0.19966027,0.018174246,0.018276252,0.036562327,0.01363488,0.013861414,0.027722828
31,0.06906832015185939,0.06968494968710388,0.6330817937850952,0.000982383934407258,0.15744062,0.15792887,0.36067462,0.08703108,0.08802235,0.20678324,0.018172152,0.018435847,0.036917582,0.013629325,0.014352785,0.028706385
