epoch,train_loss,val_loss,val_log_mse_total,lr,train_Read Latency (ns),val_Read Latency (ns),val_log_mse_Read Latency (ns),train_Write Energy (nJ),val_Write Energy (nJ),val_log_mse_Write Energy (nJ),train_Area (mm^2),val_Area (mm^2),val_log_mse_Area (mm^2),train_Leakage (mW),val_Leakage (mW),val_log_mse_Leakage (mW)
1,0.12016345773927273,0.043501947206390036,0.36601972579956055,0.0002,0.08715984,0.024780694,0.050365206,0.11314747,0.05433406,0.11370779,0.1122554,0.029577356,0.059826326,0.1680911,0.06531568,0.1421204
2,0.030338998509245266,0.01985901625000977,0.1609390676021576,0.0004,0.027660443,0.017750649,0.035903525,0.0353446,0.027088474,0.055440348,0.0231832,0.009949904,0.019922001,0.035167757,0.024647038,0.049673196
3,0.018090859949570152,0.01859611098144625,0.15036582946777344,0.0006,0.01836624,0.0150473155,0.030337455,0.02229454,0.021584645,0.044119008,0.012659108,0.016026422,0.032137267,0.019043546,0.021726059,0.0437721
4,0.01371554867331292,0.012102794059523352,0.09758086502552032,0.0008,0.014682474,0.014492593,0.029201176,0.017641228,0.014050174,0.02863063,0.009348686,0.005837237,0.01168223,0.013189809,0.014031173,0.02806683
5,0.01189896100339346,0.008610798081232085,0.06917417049407959,0.001,0.013115829,0.009608047,0.019339789,0.015326599,0.011072691,0.022308387,0.008379069,0.004143314,0.008287713,0.010774353,0.009619141,0.019238282
6,0.009486672232841725,0.008634439073652179,0.06958625465631485,0.001,0.011052712,0.009174825,0.018440591,0.013465628,0.011555719,0.023520363,0.0057329866,0.0047859764,0.009577687,0.0076953643,0.0090212375,0.018047614
7,0.008691385096220031,0.008864431211480627,0.071800097823143,0.000999971647483124,0.010286936,0.008638942,0.017405659,0.012304999,0.014431886,0.029619189,0.005183822,0.0037289495,0.0074593667,0.006989785,0.008657945,0.01731589
8,0.007839402908624827,0.006522742317461813,0.052537497133016586,0.0009998865931479571,0.009818438,0.007855936,0.015831668,0.011554471,0.009988552,0.020210566,0.0045019137,0.0036316528,0.00726558,0.0054827905,0.0046148268,0.009229682
9,0.0071219477530020826,0.00596013168549842,0.048316046595573425,0.000999744846640517,0.008776105,0.0071551516,0.014423154,0.010948657,0.009555668,0.019632204,0.0039048528,0.0027534745,0.0055082226,0.004858176,0.004376232,0.008752465
10,0.006694183145170044,0.006454289012082347,0.05226008594036102,0.0009995464240362846,0.008300999,0.008154777,0.016444674,0.010351869,0.009386301,0.019262426,0.0037075917,0.0029998287,0.006000484,0.004416273,0.005276249,0.010552498
11,0.0064768625817561605,0.00659546731860266,0.05346004292368889,0.000999291347838381,0.008074227,0.0066496283,0.013414038,0.010127992,0.010439735,0.0214578,0.003508781,0.004374581,0.008752343,0.0041964515,0.0049179266,0.009835862
12,0.006218482427524374,0.005941809702839878,0.04811912775039673,0.000998979646975015,0.007642298,0.007109807,0.014335698,0.009779104,0.009756182,0.019980479,0.0034256545,0.0026579597,0.005316365,0.0040268707,0.0042432887,0.008486586
13,0.005793997519641999,0.005938217380420641,0.04817027598619461,0.0009986113567962026,0.007387303,0.0065007727,0.013102449,0.009419853,0.009822835,0.02020749,0.0030301062,0.0030199694,0.0060414216,0.0033387318,0.0044092922,0.008818911
14,0.005636542147089952,0.004966756968187528,0.04029295593500137,0.0009981865190697577,0.007166319,0.0063386536,0.012820726,0.009238441,0.008564486,0.017544294,0.0029256407,0.002457456,0.004915072,0.0032157686,0.0025064321,0.0050128642
15,0.005458159516337938,0.005538766072397386,0.044980503618717194,0.0009977051819765558,0.0069051175,0.006621262,0.013339693,0.009254804,0.009702425,0.019978015,0.0028435492,0.0021258807,0.004251804,0.002829168,0.0037054964,0.007410993
16,0.00545233875454178,0.005198002085499876,0.04190745949745178,0.0009971674001050686,0.0070444937,0.006340522,0.012857286,0.008915544,0.009145845,0.018438753,0.0027525295,0.002276455,0.0045530503,0.003096787,0.0030291867,0.0060583735
17,0.005286017774130859,0.0051267404160513595,0.04152189567685127,0.000996573234445175,0.006701049,0.008186614,0.01661596,0.008919852,0.0077417595,0.015748711,0.002713849,0.0021963944,0.0043928344,0.002809325,0.0023821949,0.0047643897
18,0.005053088863816407,0.00538399338916138,0.04360567405819893,0.0009959227523812424,0.006526956,0.0070695733,0.014245375,0.008625962,0.0078933295,0.016214157,0.002544094,0.0022900233,0.0045800465,0.0025153446,0.004283048,0.008566096
19,0.004972347309653434,0.006080289195674855,0.04899337887763977,0.0009952160276844855,0.0064088926,0.006311794,0.012767879,0.008438019,0.007975959,0.016158694,0.0025204986,0.0040147407,0.008029481,0.0025219768,0.006018662,0.012037324
20,0.004956482316534596,0.004382372973067266,0.03550638258457184,0.0009944531405046,0.0063883965,0.005697693,0.011534024,0.0084594935,0.007702511,0.015713545,0.0024610066,0.0019219732,0.0038441846,0.0025170352,0.0022073144,0.0044146287
21,0.0047484164189539385,0.004573570117839165,0.03696918487548828,0.0009936341773606723,0.0061632707,0.005982578,0.012160286,0.008277948,0.007791664,0.015768215,0.0022848516,0.0019422752,0.0038851588,0.0022675984,0.0025777633,0.0051555266
22,0.004740747807990006,0.004675303600929879,0.03776487708091736,0.000992759231131368,0.0061812564,0.00562061,0.0113817025,0.00826468,0.008831381,0.017884677,0.002286605,0.0018672979,0.0037346454,0.0022304517,0.0023819257,0.0047638514
